title,rating,ratingDescription,release year,user rating score,user rating size
White Chicks,PG-13,80,2004,82,80
Lucky Number Slevin,R,100,2006,81,82
Grey's A81tomy,TV-14,90,2016,98,80
Prison Break,TV-14,90,2008,98,80
How I Met Your Mother,TV-PG,70,2014,94,80
Super81tural,TV-14,90,2016,95,80
Breaking Bad,TV-MA,110,2013,97,80
The Vampire Diaries,TV-14,90,2017,91,80
The Walking Dead,TV-MA,110,2015,98,80
Pretty Little Liars,TV-14,90,2016,96,80
Once Upon a Time,TV-PG,70,2016,98,80
Sherlock,TV-14,90,2016,95,80
Death Note,TV-14,90,2006,77,80
81ruto,TV-PG,70,2008,88,80
The Hunter,R,100,2011,81,82
Lottie Dottie Chicken,TV-Y,10,2009,81,82
Arrow,TV-14,90,2015,96,80
Black Mirror,TV-MA,110,2016,80,80
The Origi81ls,TV-14,90,2016,74,80
The 100,NR,124,2016,97,80
Masha and the Bear,TV-Y,10,2013,81,80
"ÌÒ Pai, ÌÒ - Look at This",TV-MA,110,2007,81,82
Nymphomaniac: Volume 1,NR,124,2013,81,82
Hunter X Hunter (2011),NR,124,2013,57,80
Marvel's Luke Cage,TV-MA,110,2016,95,80
Marvel's Iron Fist,TV-MA,110,2017,98,80
81rcos,TV-MA,110,2016,94,80
The Flash,TV-PG,70,2016,98,80
The Seven Deadly Sins,TV-14,90,2016,81,82
Scream,TV-14,90,2016,81,82
The Do-Over,TV-MA,110,2016,84,80
OperaÌ¤Ìµes Especiais,TV-MA,110,2015,81,82
Trollhunters,TV-Y7-FV,42,2016,83,80
Fearless,TV-14,90,2016,81,82
Hye81 Road,R,100,2015,81,82
Santa Clarita Diet,TV-MA,110,2017,82,80
"Sex, Love and Therapy",NR,124,2014,81,82
White Girl,UR,124,2016,81,82
Girlboss,TV-MA,110,2017,94,80
City of God: 10 Years Later,TV-MA,110,2013,81,82
13 Reasons Why,TV-MA,110,2017,99,80
Sand Castle,TV-MA,110,2017,89,80
Salvador Martinha - Tip of the Tongue,TV-MA,110,2016,81,82
Sandy Wexler,TV-14,90,2017,92,80
O Amor no DivÌ£,TV-MA,110,2016,81,82
Stronger Than the World,NR,124,2016,81,82
Back and Forth,NR,124,2016,81,82
Happily Married,TV-14,90,2015,81,82
Pandora,TV-MA,110,2016,81,82
The Office (U.S.),TV-14,90,2012,97,80
Gossip Girl,TV-14,90,2012,96,80
Parks and Recreation,TV-14,90,2015,94,80
Glee,TV-PG,70,2015,92,80
Family Guy,TV-MA,110,2015,98,80
Crimi81l Minds,TV-14,90,2016,98,80
Friends,TV-14,90,2003,98,80
The Secret Life of the American Tee81ger,TV-14,90,2013,81,80
One Tree Hill,TV-14,90,2011,90,80
Shameless (U.S.),TV-MA,110,2016,97,80
New Girl,TV-14,90,2016,91,80
American Horror Story,TV-MA,110,2016,90,80
Orange Is the New Black,TV-MA,110,2016,98,80
Inside Russia's Toughest Prison,TV-14,90,2011,81,82
Bates Motel,TV-14,90,2016,83,80
Grace and Frankie,TV-MA,110,2017,90,80
How to Get Away with Murder,TV-14,90,2016,95,80
The Get Down,TV-MA,110,2017,80,80
Love,TV-MA,110,2017,81,82
The OA,TV-MA,110,2016,81,82
Stranger Things,TV-14,90,2016,90,80
Ingober81ble,TV-MA,110,2017,96,80
Zootopia,PG,60,2016,97,80
Meet the Blacks,R,100,2016,79,80
Finding Dory,PG,60,2016,98,80
Sausage Party,R,100,2016,91,80
Pete's Dragon,PG,60,2016,93,80
Kevin Hart: What Now?,R,100,2016,97,80
The Discovery,TV-MA,110,2017,81,82
Chewing Gum,TV-MA,110,2017,93,80
Cheer Squad,TV-PG,70,2016,61,80
Only for One Night,TV-MA,110,2016,78,80
The Life Aquatic with Steve Zissou,R,100,2004,81,82
The L Word,TV-MA,110,2009,81,82
30 Rock,TV-14,90,2012,66,80
Mad Men,TV-14,90,2014,75,80
It's Always Sunny in Philadelphia,TV-MA,110,2016,91,80
Californication,TV-MA,110,2014,63,80
Portlandia,TV-14,90,2016,62,80
Don't Trust the B---- in Apartment 23,TV-14,90,2012,81,82
Friends with Benefits,TV-14,90,2011,81,82
The Client List,TV-14,90,2013,92,80
Halt and Catch Fire,TV-14,90,2016,81,82
5 to 7,R,100,2014,81,82
Chef's Table,TV-MA,110,2017,81,82
Documentary Now!,TV-14,90,2016,81,82
Better Call Saul,TV-MA,110,2016,95,80
Schitt's Creek,TV-14,90,2016,74,80
Lovesick,TV-MA,110,2016,81,82
Flaked,TV-MA,110,2016,81,82
Master of None,TV-MA,110,2015,81,82
Chelsea,TV-MA,110,2017,81,82
Abstract: The Art of Design,TV-14,90,2017,81,82
Cooper Barrett's Guide to Surviving Life,TV-14,90,2016,81,82
The Great British Baking Show,TV-PG,70,2016,94,80
Life in Pieces,TV-14,90,2015,68,80
Crazy Ex-Girlfriend,TV-14,90,2017,81,82
Easy,TV-MA,110,2016,81,82
No Tomorrow,TV-14,90,2016,81,82
Minimalism: A Documentary About the Important Things,TV-PG,70,2016,81,82
Hot Girls Wanted: Turned On,TV-MA,110,2017,81,82
Win It All,TV-MA,110,2017,81,82
MerlÌ?,TV-PG,70,2015,81,82
Amy Schumer: The Leather Special,TV-MA,110,2017,81,82
Louis C.K. 2017,TV-MA,110,2017,71,80
Dave Chappelle,TV-MA,110,2017,94,80
Almost Adults,NR,124,2016,81,82
The Brothers,R,100,2001,81,82
Skins,TV-MA,110,2013,81,82
The Cleveland Show,TV-14,90,2012,88,80
Absolutely Fabulous,TV-14,90,2012,59,80
Raising Hope,TV-14,90,2013,73,80
Come Fly With Me,TV-14,90,2010,81,82
Brickleberry,TV-MA,110,2014,63,80
BoJack Horseman,TV-MA,110,2016,81,82
Being Mary Jane: The Series,TV-14,90,2016,81,82
Unbreakable Kimmy Schmidt,TV-14,90,2016,81,82
Bordertown,TV-14,90,2016,81,82
Jane The Virgin,TV-14,90,2016,86,80
Dope,TV-14,90,2016,91,80
The Carmichael Show,TV-14,90,2016,74,80
November Rule,R,100,2015,79,80
Haters Back Off,TV-MA,110,2016,81,82
Kubo and the Two Strings,TV-14,90,2016,69,80
A Weekend with the Family,TV-14,90,2016,81,82
Crazyhead,TV-PG,70,2016,94,80
Deidra & Laney Rob a Train,TV-14,90,2015,81,82
Honeytrap,TV-14,90,2015,68,80
Hurricane Bianca,TV-14,90,2017,81,82
Little Boxes,TV-MA,110,2016,81,82
Queen of Katwe,TV-14,90,2016,58,80
Greenleaf,PG,60,2016,96,80
Lazy Eye,TV-MA,110,2017,81,82
Like Cotton Twines,TV-MA,110,2016,81,82
The Wedding Party,TV-MA,110,2016,81,82
Boy Bye,PG,60,2016,81,81
81ncy Drew,TV-14,90,2016,61,80
Nurse Jackie,TV-14,90,2017,81,82
Drop Dead Diva,TV-MA,110,2016,81,82
Gilmore Girls,NR,124,2014,81,82
Parenthood,TV-14,90,2016,62,80
Life Unexpected,TV-MA,110,2016,81,82
Being Human (U.S.),NR,124,2016,81,82
The Carrie Diaries,TV-14,90,2016,81,82
Baby Daddy,TV-MA,110,2017,94,80
The Angriest Man in Brooklyn,TV-MA,110,2016,81,82
Sense8,NR,124,2016,81,82
Girlfriends' Guide to Divorce,PG,60,2007,81,82
Fried,TV-MA,110,2015,82,80
The Great Gilly Hopkins,TV-PG,70,2014,81,82
The Magicians,TV-14,90,2006,91,80
One Day at a Time,TV-14,90,2014,79,80
Better Off Single,TV-PG,70,2010,55,80
The Matchbreaker,TV-14,90,2013,73,80
Tramps,TV-14,90,2014,58,80
Slam,TV-14,90,2013,81,82
The Waterboy,TV-14,90,2016,80,80
10 Things I Hate About You,R,100,2014,81,82
Grease,R,100,2014,81,82
How to Lose a Guy in 10 Days,TV-MA,110,2017,81,82
The Benchwarmers,TV-14,90,2016,81,82
Step Up,TV-MA,110,2017,81,80
High School Musical 2,TV-14,90,2016,86,80
Twilight,TV-14,90,2015,63,80
Coraline,TV-14,90,2016,74,80
Han81h Monta81: The Movie,TV-14,90,2016,69,80
Friday Night Lights,TV-MA,110,2017,81,82
StarStruck,TV-14,90,2017,81,82
90210,TV-14,90,2016,81,82
Mean Girls 2,TV-PG,70,2016,94,80
That '70s Show,TV-14,90,2015,68,80
Heartland,TV-14,90,2017,81,82
Switched at Birth,TV-MA,110,2015,81,82
Hart of Dixie,PG,60,2016,69,80
Safe Haven,TV-MA,110,2016,89,80
The Night Shift,TV-PG,70,2017,81,82
Reign,TV-MA,110,2016,81,82
Fuller House,PG,60,2016,79,80
Gilmore Girls: A Year in the Life,TV-MA,110,2017,81,82
Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,TV-MA,110,2017,81,82
The Wedding Planner,NR,124,2016,81,82
Blow,PG-13,80,1998,82,80
High School Musical,PG-13,80,1999,68,80
Bones,PG,60,1978,86,80
Law & Order: Special Victims Unit,PG-13,80,2003,56,80
NCIS,PG-13,80,2006,77,80
Army Wives,PG-13,80,2006,64,80
Private Practice,TV-G,35,2007,58,80
Revenge,PG-13,80,2008,89,80
Scandal,PG,60,2009,95,80
Magic Mike,G,35,2009,56,80
Trouble with the Curve,TV-PG,70,2010,81,80
Home,TV-G,35,2010,81,82
Skin Wars,TV-14,90,2013,62,80
Felipe Neto: My Life Makes No Sense,PG-13,80,2011,81,82
Lost,TV-14,90,2005,89,80
Weeds,TV-PG,70,2015,85,80
The Tudors,TV-14,90,2015,83,80
Lie to Me,TV-PG,70,2014,81,80
,TV-14,90,2013,81,82
Charmed,PG-13,80,2013,62,80
White Collar,TV-14,90,2015,93,80
House of Cards,TV-14,90,2015,79,80
The Killing,TV-G,35,2016,90,80
Unconditio81l,TV-14,90,2016,77,80
The Blacklist,TV-14,90,2016,84,80
The Fosters,TV-MA,110,2017,94,80
Witches of East End,PG,60,1978,86,80
Bitten,PG-13,80,2001,81,82
London Has Fallen,R,100,2001,78,80
Marvel's Jessica Jones,TV-G,35,2006,64,80
Bloodline,TV-G,35,2007,58,80
Velvet,PG-13,80,2008,89,80
The Crown,G,35,2009,56,80
Kurt Seyit & Sura,TV-14,90,2016,97,80
The Returned,TV-14,90,2015,97,80
The Girl in the Book,TV-MA,110,2015,82,80
Quantico,TV-14,90,2016,97,80
100 Metros,TV-14,90,2013,61,80
Dexter,TV-14,90,2012,88,80
Leverage,TV-PG,70,2015,84,80
Burn Notice,TV-14,90,2016,92,80
Luther,R,100,2012,77,80
Hawaii Five-0,PG-13,80,2012,63,80
Last Man Standing,PG,60,2015,94,80
Person of Interest,TV-14,90,2016,69,80
Touch,TV-MA,110,2017,81,82
Breakout Kings,TV-14,90,2010,98,80
The Following,TV-MA,110,2012,85,80
"Drugs, Inc.",TV-MA,110,2010,81,82
Longmire,TV-14,90,2010,89,80
The Fall,TV-PG,70,2014,81,82
Death in Paradise,TV-PG,70,2005,90,80
Marvel's Agents of S.H.I.E.L.D.,TV-PG,70,2014,93,80
Crossing Lines,TV-MA,110,2016,91,80
The Honorable Woman,TV-14,90,2014,73,80
Transporter: The Series,PG-13,80,2012,81,82
Gotham,TV-14,90,2016,96,80
American Odyssey,TV-14,90,2016,73,80
Aquarius,TV-14,90,2015,79,80
Hap and Leo81rd,TV-14,90,2014,81,82
Rosewood,TV-MA,110,2016,56,80
Limitless,R,100,2016,96,80
Travelers,TV-MA,110,2015,83,80
The Doctor Blake Mysteries,TV-MA,110,2016,81,82
I.T,TV-14,90,2016,81,82
The West Wing,TV-MA,110,2016,84,80
Blue Bloods,TV-14,90,2016,91,80
Forensic Files,TV-14,90,2014,81,82
Rectify,TV-14,90,2015,81,82
American Crime,TV-MA,110,2015,81,82
Madam Secretary,TV-14,90,2016,88,80
American Crime Story: The People v. O.J. Simpson,TV-14,90,2015,68,80
The Nightmare Before Christmas,TV-MA,110,2016,81,82
Scooby-Doo,TV-14,90,2016,97,80
Chicken Little,TV-MA,110,2013,95,80
Tee81ge Mutant Ninja Turtles,TV-PG,70,2012,86,80
Star Wars: The Clone Wars,TV-14,90,2010,89,80
The Smurfs and the Magic Flute,TV-14,90,2016,97,80
We're Back! A Dinosaur's Story,TV-14,90,2013,85,80
Thomas & Friends: Thomas & the Ru81way Kite,TV-14,90,2015,69,80
Dino Squad,TV-14,90,2016,96,80
Cars Toons: Mater's Tall Tales,TV-PG,70,2015,97,80
LeapFrog: The Amazing Alphabet Amusement Park,TV-PG,70,2015,84,80
Phineas and Ferb,TV-14,90,2016,93,80
The Batman,TV-14,90,2012,68,80
Justice League,TV-14,90,2012,88,80
Justice League Unlimited,TV-14,90,2015,81,82
Mighty Morphin Power Rangers,TV-14,90,2015,81,82
Young Justice,TV-14,90,2016,92,80
The Super Mario Bros. Super Show!,TV-MA,110,2016,81,82
Power Rangers Zeo,TV-MA,110,2016,61,80
Oscar's Oasis,TV-14,90,2016,77,80
Transformers Prime,TV-PG,70,2016,89,80
The Adventures of Chuck & Friends,TV-14,90,2015,66,80
Transformers: Rescue Bots,R,100,2016,96,80
Thomas & Friends: King of the Railway,TV-MA,110,2014,81,82
LEGO: Marvel Super Heroes: Maximum Overload,TV-MA,110,2014,81,82
Max Steel,TV-14,90,2016,85,80
Transformers Prime Beast Hunters: Predacons Rising,TV-MA,110,2016,95,80
Agent F.O.X.,TV-14,90,2015,81,82
VeggieTales in the House,TV-MA,110,2015,81,82
Thunder and the House Of Magic,TV-MA,110,2016,57,80
All Hail King Julien,TV-14,90,2015,81,80
Kong: King of the Apes,TV-14,90,2016,88,80
Marvel Super Hero Adventures: Frost Fight!,TV-14,90,2016,84,80
Slugterra: Slug Fu Showdown,TV-MA,110,2016,86,80
Dinotrux,TV-MA,110,2016,57,80
Edgar Rice Burroughs' Tarzan and Jane,NR,124,2016,81,82
Lego DC Comics: Batman Be-Leaguered,TV-MA,110,2016,81,82
Power Rangers Dino Charge,TV-14,90,2015,97,80
Bunks,TV-14,90,2010,89,80
The Jungle Book,TV-14,90,2005,79,80
The Angry Birds Movie,TV-14,90,2016,95,80
The Secret Life of Pets,TV-PG,70,2015,84,80
The Furchester Hotel,TV-14,90,2016,93,80
Marvel's Hulk: Where Monsters Dwell,TV-14,90,2011,88,80
Angry Birds,TV-14,90,2016,81,82
Talking Tom and Friends,TV-MA,110,2016,61,80
Nexo Knights,TV-14,90,2016,96,80
An Extremely Goofy Movie,TV-14,90,2016,81,82
The Iron Giant,TV-14,90,2016,70,80
The Cat in the Hat Knows a Lot About That!,TV-MA,110,2017,81,80
Bob the Builder,TV-14,90,2015,81,80
Beyblade: Metal Fusion,TV-PG,70,2016,94,80
Ninja Turtles: The Next Mutation,TV-14,90,2016,88,80
DreamWorks Kung Fu Panda Awesome Secrets,TV-14,90,2016,84,80
LEGO Ninjago: Masters of Spinjitzu,TV-MA,110,2016,79,80
Goosebumps,TV-MA,110,2016,57,80
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,PG,60,1993,84,80
Super Buddies,PG,60,2002,86,80
Tad: The Lost Explorer,G,35,2005,92,80
PokÌ©mon: Indigo League,PG,60,2007,81,82
Ratchet and Clank,PG,60,2008,57,80
Pac-Man and the Ghostly Adventures,PG,60,2009,95,80
Iron Man & Captain America: Heroes United,G,35,1976,81,82
Power Rangers Super Megaforce,G,35,1993,81,82
Chuggington,TV-Y,10,2010,81,82
The Adventures of Puss in Boots,TV-Y7,41,2008,81,82
Some Assembly Required,TV-G,35,2010,74,80
Kulipari: An Army of Frogs,TV-Y,10,2010,81,82
Transformers: Robots in Disguise,TV-PG,70,2014,93,80
Robocar Poli,TV-G,35,2012,89,80
LEGO Bionicle: The Journey to One,TV-Y7,41,2007,77,80
Voltron: Legendary Defender,TV-Y7-FV,42,2003,66,80
Buddy Thunderstruck,TV-Y7-FV,42,2005,81,82
PokÌ©mon: XY,TV-Y7-FV,42,2010,73,80
Power Rangers Dino Super Charge,TV-PG,70,2012,71,80
The Deep,TV-Y7,41,1989,81,82
Skylanders Academy,TV-Y7-FV,42,1996,81,82
Growing Up Wild,TV-G,35,2011,81,82
The Little Rascals,TV-Y7-FV,42,2013,81,82
Flubber,TV-Y,10,2011,81,82
Tarzan,TV-Y7,41,2016,81,82
The Emperor's New Groove,TV-G,35,2013,81,82
Lilo & Stitch,TV-Y7-FV,42,2013,81,82
Scooby-Doo 2: Monsters Unleashed,TV-Y7-FV,42,2014,81,82
The Three Musketeers,TV-Y7-FV,42,2013,81,82
Mickey's Twice Upon a Christmas,PG,60,2014,81,82
The Pacifier,TV-Y,10,2016,81,82
Bee Movie,TV-G,35,2013,81,82
Kung Fu Panda,TV-Y7-FV,42,2016,71,80
Super Why!,TV-Y7-FV,42,2016,81,82
Jessie,PG,60,2015,81,82
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-Y7-FV,42,2015,81,82
Lab Rats,TV-Y7-FV,42,2017,81,82
Pocoyo,TV-Y7-FV,42,2017,81,82
Octo81uts,TV-Y7,41,2014,81,82
Dragons: Race to the Edge,TV-Y7,41,2015,81,82
Mother Goose Club,TV-PG,70,2013,81,82
Little Einsteins,PG,60,2016,97,80
Hotel Transylvania 2,PG,60,2016,92,80
Dawn of the Croods,PG,60,2016,81,81
Kung Fu Panda 3,TV-Y,10,2015,81,82
Home: Adventures with Tip & Oh,PG,60,2016,81,82
Open Season: Scared Silly,TV-G,35,2013,81,82
The Land Before Time XIV: Journey of the Brave,TV-G,35,2016,61,80
Alice Through the Looking Glass,TV-Y7-FV,42,2015,81,82
Ask the StoryBots,PG,60,1993,84,80
Goldie & Bear,G,35,1999,67,80
Little Baby Bum: Nursery Rhyme Friends,PG,60,2002,86,80
Tayo the Little Bus,PG,60,1999,83,80
Antz,PG,60,2008,57,80
Chicken Run,TV-G,35,2010,74,80
Spy Kids 3: Game Over,TV-Y7,41,2007,77,80
Annie,TV-Y7-FV,42,2003,66,80
Mulan 2,TV-Y7-FV,42,2005,81,82
Lilo & Stitch 2: Stitch Has A Glitch,TV-Y,10,2014,81,82
DreamWorks Shrek's Swamp Stories,TV-Y7-FV,42,2010,73,80
Beverly Hills Chihuahua 3: Viva La Fiesta!,TV-Y,10,2015,81,82
DreamWorks Spooky Stories: Volume 2,TV-Y7,41,2009,81,82
The Magic School Bus,TV-Y7-FV,42,1997,81,82
Sammy 2,TV-Y7-FV,42,2013,81,82
Sofia the First,TV-PG,70,2008,81,82
Barbie Life in the Dreamhouse,TV-Y7-FV,42,2015,67,80
Paddington,TV-Y7,41,2016,81,82
Larva,TV-Y7,41,1998,88,80
Sid the Science Kid,TV-Y7-FV,42,2011,81,82
Minions,G,35,2013,81,82
The Little Prince,TV-PG,70,2012,81,82
Word Party,TV-Y,10,2000,74,80
Cool Runnings,PG,60,2016,74,80
Homeward Bound: The Incredible Journey,TV-Y7,41,2014,81,82
A81stasia,PG,60,2014,81,82
Missione Hamburger,TV-Y7,41,2014,81,82
Curious George,TV-Y,10,2015,81,82
Secret of the Wings,TV-Y7-FV,42,2016,71,80
Clifford the Big Red Dog,TV-Y7-FV,42,2016,78,80
Walt Disney Animation Studios Short Films Collection,TV-Y7-FV,42,2016,81,82
Bunk'd,PG,60,2015,81,82
The BFG,TV-G,35,2015,81,82
The Real Ghostbusters,TV-Y7-FV,42,2017,81,82
Babe: Pig in the City,TV-Y7-FV,42,2017,81,82
The Prince of Egypt,TV-Y7-FV,42,2016,81,82
Paulie,TV-Y7,41,2016,81,82
The Road to El Dorado,TV-Y,10,2012,81,82
Fantasia 2000,TV-Y7-FV,42,2016,81,82
Pocahontas II: Journey to a New World,TV-Y7,41,2014,81,82
Fantasia,TV-Y7-FV,42,2017,81,82
An American Tail,TV-PG,70,2017,81,82
Pooh's Grand Adventure: The Search for Christopher Robin,TV-Y7,41,2015,81,82
FernGully 2: The Magical Rescue,TV-Y7-FV,42,2015,56,80
Balto 2: Wolf Quest,TV-Y7,41,2016,81,82
Balto,TV-Y7,41,2015,81,82
Back to the Secret Garden,TV-Y7,41,2016,81,82
The Brave Little Toaster Goes to Mars,PG,60,2016,81,82
The Brave Little Toaster to the Rescue,G,35,2016,80,80
An American Tail: The Mystery of the Night Monster,PG,60,1994,86,80
An American Tail: Fievel Goes West,PG,60,1997,83,80
The Last Unicorn,G,35,1999,95,80
Brother Bear 2,G,35,2000,95,80
The Fox and the Hound 2,PG,60,2002,86,80
Jetsons: The Movie,PG,60,2002,95,80
A Monster in Paris,PG,60,2004,82,80
The Gruffalo,G,35,2004,81,82
DreamWorks How to Train Your Dragon Legends,G,35,2004,81,82
Ernest & Celestine,PG,60,2005,91,80
Animaniacs,G,35,2005,92,80
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,PG,60,2007,81,82
PopPixie,PG,60,2007,94,80
Jack and the Cuckoo-Clock Heart,PG,60,2008,91,80
The Pirate Fairy,PG,60,2009,95,80
Axel: The Biggest Little Hero,TV-G,35,2010,74,80
The Adventures of Figaro Pho,TV-G,35,2012,89,80
The Boxcar Children,TV-Y,10,2015,68,80
Pet Pals in Windland,TV-G,35,2015,88,80
Alpha and Omega: Dino Digs,TV-G,35,2009,81,82
Quackerz,TV-Y7,41,2016,85,80
Hatched,TV-Y,10,2007,67,80
Blinky Bill: The Movie,PG,60,2015,94,80
FernGully: The Last Rainforest,TV-Y,10,2015,81,82
The Lizzie McGuire Movie,TV-Y,10,2015,81,82
Recess: Taking the Fifth Grade,TV-Y7-FV,42,2017,88,80
The Very Hungry Caterpillar and Other Stories,TV-Y,10,2016,81,82
The Hero of Color City,TV-Y,10,2007,70,80
The Little Engine That Could,PG,60,2015,93,80
Delhi Safari,TV-Y7,41,2017,72,80
Pound Puppies,TV-Y7-FV,42,2017,81,82
Monster Math Squad,PG,60,2015,90,80
Care Bears: Welcome to Care-a-Lot,PG,60,2016,92,80
Clifford's Puppy Days,PG,60,2016,97,80
Dinosaur King,TV-Y7,41,2017,81,82
Ribbit,PG,60,2015,72,80
Rooster Doodle-doo,G,35,2016,81,82
My Animal Friends,PG,60,2016,92,80
Worms,PG,60,2016,96,80
Puffin Rock,PG,60,2016,81,81
The Mr. Peabody and Sherman Show,TV-Y,10,2016,81,82
Zoobabu,TV-Y,10,2015,81,82
Gon,TV-Y,10,2016,77,80
Sid the Science Kid: The Movie,TV-Y,10,2016,81,82
LEGO Jurassic World: The Indominus Escape,TV-G,35,2013,81,82
Harry and the Hendersons,TV-Y,10,2014,81,82
Cats & Dogs,TV-G,35,2016,61,80
Atlantis: The Lost Empire,PG,60,1994,86,80
Tarzan & Jane,PG,60,1998,80,80
Atlantis: Milo's Return,G,35,1999,95,80
Batched,G,35,1999,67,80
Winnie the Pooh: Springtime with Roo,G,35,2000,80,80
Pooh's Heffalump Movie,G,35,2000,95,80
Kronk's New Groove,PG,60,2002,95,80
Corpse Bride,PG,60,2003,64,80
Disney Animation Collection: Vol. 2: Three Little Pigs,PG,60,1982,68,80
Underdogs,G,35,2004,85,80
Yellowbird,G,35,2005,92,80
Mr. Magoo,PG,60,2005,85,80
Air Bud: World Pup,PG,60,2007,81,82
Baby's Day Out,PG,60,2007,94,80
Blank Check,PG,60,2008,91,80
Heavyweights,TV-G,35,2010,74,80
Inspector Gadget 2,TV-Y,10,2015,68,80
Air Bud: Spikes Back,TV-PG,70,2008,56,80
D2: The Mighty Ducks,G,35,2012,81,82
"Honey, I Shrunk the Kids",TV-PG,70,2011,81,82
Air Buddies,TV-Y,10,1997,81,80
Dr. Dolittle: Tail to the Chief,TV-Y7,41,1998,88,80
Flicka 2,TV-PG,70,2012,81,82
H2O: Just Add Water,TV-G,35,2009,81,82
Dolphin Tale,TV-Y,10,2007,67,80
Step Dogs,TV-Y,10,2015,82,80
Mia and Me,TV-G,35,2012,85,80
Russell Madness,PG,60,2014,70,80
Wiener Dog Inter81tio81ls,TV-G,35,2015,81,82
Pup Star,TV-Y,10,2008,81,82
Precious Puppies,TV-Y,10,2015,81,82
Beary Tales,TV-Y7-FV,42,2016,71,80
Mirzapur,,,,,
Sacred games,,,,,
TVF Pitchers,,,,,
Inside Edge,,,,,
Permanent Roomates,,,,,
Flames,,,,,
College Romance,,,,,
Breathe,,,,,
Bang Baaja Baarat,,,,,
Baked,,,,,
The Aam Aadmi family,,,,,
A.I.S.H.A,,,,,
TVF Tripling,,,,,
TVF Bachelors,,,,,
Yeh Meri Family,,,,,
Lakho Mein Ek,,,,,
Engineering girls,,,,,
Fathers,,,,,
